0,1,2,3,Excited_State,%,round_%
253,->,257,0.15606,1,4.870944720000001,4.9
254,->,257,-0.34917,1,24.383937779999997,24.4
255,->,256,0.58419,1,68.25559122,68.3
253,->,256,0.56125,3,63.000312500000014,63.0
254,->,256,0.27411,3,15.027258420000003,15.0
255,->,257,-0.28279,3,15.994036819999998,16.0
253,->,256,-0.13275,4,3.5245125,3.5
253,->,257,0.38480,4,29.614207999999998,29.6
254,->,257,0.52707,4,55.56055698000001,55.6
255,->,256,0.21047,4,8.85952418,8.9
252,->,256,0.62839,6,78.97479842,79.0
252,->,257,-0.15034,6,4.52042312,4.5
253,->,257,0.12528,6,3.13901568,3.1
254,->,256,0.11565,6,2.6749845000000003,2.7
255,->,257,-0.12586,6,3.16814792,3.2
251,->,256,-0.21022,7,8.838489679999999,8.8
251,->,257,-0.12042,7,2.90019528,2.9
252,->,257,-0.12624,7,3.1873075199999996,3.2
253,->,256,0.13808,7,3.8132172800000004,3.8
253,->,257,0.40038,7,32.06082888,32.1
254,->,256,-0.19312,7,7.459066880000001,7.5
254,->,257,-0.16889,7,5.70476642,5.7
254,->,258,0.23978,7,11.49888968,11.5
255,->,256,-0.19226,7,7.392781519999998,7.4
255,->,257,0.23160,7,10.727712,10.7
251,->,257,0.10534,8,2.21930312,2.2
251,->,258,-0.11139,8,2.4815464200000004,2.5
252,->,256,0.14518,8,4.21544648,4.2
253,->,256,0.16902,8,5.71355208,5.7
253,->,257,-0.24858,8,12.35840328,12.4
254,->,257,0.16552,8,5.4793740799999995,5.5
254,->,258,0.49798,8,49.596816079999996,49.6
255,->,256,0.15601,8,4.8678240200000005,4.9
255,->,257,0.14865,8,4.4193645,4.4
251,->,256,0.12636,9,3.19336992,3.2
251,->,257,-0.10842,9,2.3509792800000002,2.4
251,->,258,-0.11093,9,2.46109298,2.5
252,->,256,-0.11528,9,2.6578956799999998,2.7
252,->,257,0.24908,9,12.40816928,12.4
253,->,256,-0.24066,9,11.58344712,11.6
253,->,257,0.13548,9,3.6709660799999995,3.7
254,->,256,0.21135,9,8.9337645,8.9
254,->,257,-0.10365,9,2.1486645,2.1
254,->,258,0.35384,9,25.04054912,25.0
255,->,256,-0.10210,9,2.084882,2.1
255,->,257,-0.29264,9,17.12763392,17.1
247,->,258,0.16949,10,5.7453720200000005,5.7
251,->,256,0.20828,10,8.67611168,8.7
251,->,257,-0.16044,10,5.14819872,5.1
252,->,256,0.16132,10,5.20482848,5.2
252,->,257,0.48774,10,47.578061520000006,47.6
253,->,256,0.19193,10,7.367424979999999,7.4
254,->,256,-0.12296,10,3.02383232,3.0
254,->,258,-0.13320,10,3.5484480000000005,3.5
255,->,257,0.16631,10,5.5318032200000005,5.5
247,->,256,0.14297,11,4.08808418,4.1
251,->,256,0.54724,11,59.89432351999999,59.9
251,->,257,0.24966,11,12.46602312,12.5
252,->,257,-0.20019,11,8.01520722,8.0
253,->,257,0.18500,11,6.845,6.8
247,->,256,-0.16685,16,5.567784499999999,5.6
247,->,258,0.22315,16,9.9591845,10.0
249,->,256,0.35192,16,24.76953728,24.8
250,->,256,-0.33953,16,23.05612418,23.1
251,->,256,-0.15769,16,4.97322722,5.0
251,->,257,0.29781,16,17.738159220000004,17.7
252,->,256,-0.11692,16,2.7340572799999996,2.7
247,->,256,-0.17161,19,5.889998420000001,5.9
247,->,258,-0.38783,19,30.08242178,30.1
249,->,256,0.38691,19,29.93986962,29.9
249,->,258,-0.11896,19,2.83029632,2.8
251,->,257,-0.21282,19,9.05847048,9.1
255,->,259,-0.25994,19,13.51376072,13.5
247,->,258,-0.11232,20,2.5231564800000004,2.5
249,->,256,0.19547,20,7.6417041800000005,7.6
251,->,257,-0.10924,20,2.3866755200000003,2.4
255,->,259,0.61744,20,76.24643072,76.2
245,->,256,0.13930,23,3.8808980000000006,3.9
249,->,257,0.15186,23,4.61229192,4.6
254,->,259,0.64147,23,82.29675218,82.3
246,->,256,0.32662,26,21.336124880000003,21.3
247,->,257,-0.20911,26,8.745398419999999,8.7
249,->,257,0.54111,26,58.56000642,58.6
254,->,259,-0.12567,26,3.1585897800000007,3.2
243,->,256,-0.12204,37,2.97875232,3.0
244,->,257,0.13370,37,3.575138000000001,3.6
253,->,259,0.59134,37,69.93659912,69.9
255,->,260,-0.12647,37,3.19893218,3.2
255,->,262,0.10116,37,2.0466691200000002,2.0
255,->,263,0.21988,37,9.66944288,9.7
240,->,256,0.13633,43,3.717173780000001,3.7
241,->,256,0.14348,43,4.11730208,4.1
254,->,260,0.65183,43,84.97646978,85.0
234,->,258,0.13108,52,3.4363932800000003,3.4
237,->,257,-0.10385,52,2.1569645,2.2
238,->,256,-0.32655,52,21.3269805,21.3
239,->,256,0.39495,52,31.1971005,31.2
249,->,258,-0.14557,52,4.23812498,4.2
254,->,262,-0.11769,52,2.77018722,2.8
254,->,263,0.26620,52,14.172488,14.2
255,->,264,0.14323,52,4.1029665799999995,4.1
252,->,259,-0.47371,54,44.88023282,44.9
255,->,265,0.48242,54,46.54581128,46.5
252,->,259,0.45203,55,40.866224179999996,40.9
255,->,265,0.50364,55,50.73064991999999,50.7
238,->,257,0.56816,58,64.56115712,64.6
239,->,257,0.34289,58,23.514710419999997,23.5
255,->,266,0.10464,58,2.1899059199999997,2.2
237,->,256,-0.12388,73,3.0692508800000002,3.1
247,->,259,0.20831,73,8.67861122,8.7
249,->,259,0.13178,73,3.47319368,3.5
250,->,259,-0.27270,73,14.873058,14.9
252,->,260,0.41050,73,33.70204999999999,33.7
254,->,267,0.34563,73,23.892019379999997,23.9
247,->,259,-0.36265,74,26.303004499999993,26.3
249,->,259,-0.22747,74,10.348520180000001,10.3
250,->,259,0.38810,74,30.124322,30.1
252,->,260,0.23178,74,10.744393680000002,10.7
254,->,267,0.25673,74,13.18205858,13.2
